Date,ZAR Open,AUD Open,High,Low,Close,Adj Close,Volume
16/05/2006,6.4053,1.3109,1.3146,1.3004,1.3036,1.3036,0
17/05/2006,6.3576,1.304,1.32,1.2943,1.3168,1.3168,0
18/05/2006,6.4287,1.3168,1.318,1.3028,1.3089,1.3089,0
19/05/2006,6.4487,1.3091,1.328,1.3075,1.3207,1.3207,0
22/05/2006,6.4701,1.3212,1.3385,1.3212,1.3273,1.3273,0
23/05/2006,6.5254,1.3286,1.3342,1.3167,1.3316,1.3316,0
24/05/2006,6.623,1.331,1.3335,1.3229,1.3278,1.3278,0
25/05/2006,6.544,1.3277,1.3307,1.3122,1.3142,1.3142,0
26/05/2006,6.4973,1.3144,1.3224,1.3141,1.3191,1.3191,0
29/05/2006,6.5447,1.3201,1.3203,1.3163,1.3175,1.3175,0
30/05/2006,6.5,1.3172,1.3205,1.308,1.3127,1.3127,0
31/05/2006,6.683,1.3125,1.3305,1.3077,1.3284,1.3284,0
01/06/2006,6.6985,1.3286,1.3428,1.3278,1.3371,1.3371,0
02/06/2006,6.595,1.3375,1.3416,1.3289,1.3314,1.3314,0
05/06/2006,6.6563,1.3323,1.3381,1.3256,1.3364,1.3364,0
06/06/2006,6.6351,1.3365,1.352,1.3358,1.3488,1.3488,0
07/06/2006,6.7611,1.349,1.3523,1.3455,1.347,1.347,0
08/06/2006,6.7284,1.347,1.3499,1.3394,1.3466,1.3466,0
09/06/2006,6.7336,1.3468,1.3481,1.3324,1.3324,1.3324,0
12/06/2006,6.7507,1.3365,1.347,1.3335,1.347,1.347,0
13/06/2006,6.7762,1.3464,1.3567,1.3423,1.3557,1.3557,0
14/06/2006,6.8344,1.3561,1.3607,1.3497,1.3554,1.3554,0
15/06/2006,6.824,1.3569,1.3574,1.3459,1.3466,1.3466,0
16/06/2006,6.8532,1.3469,1.3554,1.3432,1.3524,1.3524,0
19/06/2006,6.9035,1.3559,1.3583,1.3534,1.3578,1.3578,0
20/06/2006,6.9836,1.3576,1.358,1.3503,1.3557,1.3557,0
21/06/2006,7.0658,1.3557,1.3615,1.3504,1.3539,1.3539,0
22/06/2006,7.1413,1.353,1.365,1.3479,1.3631,1.3631,0
23/06/2006,7.338,1.3628,1.3683,1.36,1.3661,1.3661,0
26/06/2006,7.4005,1.3674,1.3706,1.3633,1.3644,1.3644,0
27/06/2006,7.3528,1.3643,1.3667,1.36,1.3665,1.3665,0
28/06/2006,7.2857,1.3663,1.3742,1.3643,1.3716,1.3716,0
29/06/2006,7.2265,1.3717,1.3742,1.351,1.3524,1.3524,0
30/06/2006,7.1141,1.3526,1.3535,1.3419,1.3463,1.3463,0
03/07/2006,7.1487,1.3457,1.3488,1.3405,1.3463,1.3463,0
04/07/2006,7.0143,1.3461,1.3468,1.3385,1.3444,1.3444,0
05/07/2006,7.0338,1.3439,1.3508,1.338,1.3479,1.3479,0
06/07/2006,7.2592,1.3479,1.3492,1.3383,1.341,1.341,0
07/07/2006,7.1632,1.3407,1.3414,1.3282,1.3298,1.3298,0
10/07/2006,7.1131,1.3307,1.3399,1.3284,1.338,1.338,0
11/07/2006,7.104,1.3381,1.3387,1.3271,1.3286,1.3286,0
12/07/2006,7.1013,1.329,1.3308,1.3235,1.3284,1.3284,0
13/07/2006,7.1448,1.3286,1.33,1.3218,1.327,1.327,0
14/07/2006,7.2126,1.3271,1.3358,1.3249,1.3254,1.3254,0
17/07/2006,7.1725,1.327,1.3383,1.3268,1.3371,1.3371,0
18/07/2006,7.2425,1.3371,1.3427,1.3278,1.3387,1.3387,0
19/07/2006,7.1215,1.3389,1.3497,1.3308,1.3323,1.3323,0
20/07/2006,7.0387,1.3326,1.3346,1.3278,1.3323,1.3323,0
21/07/2006,6.9675,1.3319,1.3345,1.3245,1.3259,1.3259,0
24/07/2006,7.0038,1.3296,1.3323,1.3242,1.327,1.327,0
25/07/2006,7.0073,1.3271,1.3298,1.3217,1.3271,1.3271,0
26/07/2006,6.9938,1.3271,1.3282,1.312,1.3144,1.3144,0
27/07/2006,6.9514,1.3148,1.3149,1.3053,1.3108,1.3108,0
28/07/2006,6.8478,1.3106,1.3159,1.3006,1.3043,1.3043,0
31/07/2006,6.8662,1.3046,1.3075,1.3034,1.3057,1.3057,0
01/08/2006,6.923,1.3057,1.3154,1.3046,1.3072,1.3072,0
02/08/2006,6.9338,1.307,1.3094,1.3017,1.3079,1.3079,0
03/08/2006,6.8797,1.3077,1.3168,1.3068,1.3137,1.3137,0
04/08/2006,6.8451,1.3137,1.317,1.3034,1.3062,1.3062,0
07/08/2006,6.8076,1.305,1.3122,1.3041,1.3099,1.3099,0
08/08/2006,6.7838,1.3101,1.3205,1.3087,1.3194,1.3194,0
09/08/2006,6.7948,1.3198,1.3214,1.304,1.3057,1.3057,0
10/08/2006,6.7197,1.3055,1.3057,1.2965,1.3012,1.3012,0
11/08/2006,6.7538,1.3007,1.3065,1.2987,1.304,1.304,0
14/08/2006,6.79,1.3048,1.317,1.3019,1.3158,1.3158,0
15/08/2006,6.8464,1.316,1.3177,1.306,1.3068,1.3068,0
