Date,CHF Open,EURO Open
19/07/2006,1.2527,1.250203
20/07/2006,1.2474,1.260001
21/07/2006,1.2432,1.263504
24/07/2006,1.2359,1.270696
25/07/2006,1.2468,1.262244
26/07/2006,1.2529,1.2584
27/07/2006,1.241,1.271197
28/07/2006,1.2381,1.269503
31/07/2006,1.2321,1.276503
01/08/2006,1.2303,1.2774
02/08/2006,1.2265,1.281854
03/08/2006,1.2303,1.279149
04/08/2006,1.2312,1.28
07/08/2006,1.2214,1.288394
08/08/2006,1.2267,1.281903
09/08/2006,1.2325,1.277302
10/08/2006,1.2254,1.28725
11/08/2006,1.2339,1.279198
14/08/2006,1.2398,1.273399
15/08/2006,1.2415,1.2722
16/08/2006,1.2371,1.278903
17/08/2006,1.22925,1.284208
18/08/2006,1.2322,1.283005
21/08/2006,1.2322,1.283895
22/08/2006,1.2262,1.2872
23/08/2006,1.2336,1.281197
24/08/2006,1.23575,1.278396
25/08/2006,1.2391,1.276194
28/08/2006,1.239,1.276096
29/08/2006,1.2356,1.279345
30/08/2006,1.2284,1.282907
31/08/2006,1.2269,1.283944
01/09/2006,1.231,1.280902
04/09/2006,1.2287,1.285298
05/09/2006,1.22935,1.285694
06/09/2006,1.2332,1.282298
07/09/2006,1.234,1.282101
08/09/2006,1.243,1.273107
11/09/2006,1.2479,1.267299
12/09/2006,1.2441,1.270793
13/09/2006,1.2504,1.2691
14/09/2006,1.2497,1.269696
15/09/2006,1.2524,1.272297
18/09/2006,1.257,1.264302
19/09/2006,1.2499,1.270906
20/09/2006,1.25175,1.267893
21/09/2006,1.251,1.268698
22/09/2006,1.2425,1.2782
25/09/2006,1.2356,1.279296
26/09/2006,1.2384,1.274892
27/09/2006,1.2436,1.268794
28/09/2006,1.24375,1.270696
29/09/2006,1.2471,1.270648
02/10/2006,1.2501,1.268006
03/10/2006,1.243,1.274194
04/10/2006,1.2453,1.273593
05/10/2006,1.2486,1.271504
06/10/2006,1.2519,1.269599
09/10/2006,1.2614,1.259097
10/10/2006,1.2611,1.260097
11/10/2006,1.2714,1.253196
12/10/2006,1.2723,1.252505
13/10/2006,1.2678,1.256108
16/10/2006,1.2738,1.2505
17/10/2006,1.2698,1.253997
18/10/2006,1.2679,1.254406
19/10/2006,1.2698,1.253997
20/10/2006,1.2574,1.262897
23/10/2006,1.2589,1.261193
24/10/2006,1.26675,1.255193
25/10/2006,1.2668,1.255792
26/10/2006,1.2639,1.2614
27/10/2006,1.2534,1.269245
30/10/2006,1.2487,1.273107
31/10/2006,1.2491,1.271892
01/11/2006,1.2437,1.276503
02/11/2006,1.2456,1.275494
03/11/2006,1.2452,1.277906
06/11/2006,1.2528,1.271892
07/11/2006,1.2549,1.272799
08/11/2006,1.2488,1.277906
09/11/2006,1.251,1.27595
