Date,EWC Open,EWC High,EWC Low,EWC Close,EWC Adj Close,EWC Volume,EWA Open,EWA High,EWA Low,EWA Close,EWA Adj Close,EWA Volume
18/03/1996,10.3125,10.3125,10.3125,10.3125,4.648171,500,10.125,10.125,10,10,3.344495,35200
19/03/1996,10.375,10.375,10.375,10.375,4.676341,200,10.125,10.125,10.125,10.125,3.386302,500
20/03/1996,10.375,10.375,10.375,10.375,4.676341,0,10.125,10.125,10.125,10.125,3.386302,500
21/03/1996,10.375,10.375,10.375,10.375,4.676341,0,10.25,10.25,10.25,10.25,3.428108,37700
22/03/1996,10.375,10.375,10.375,10.375,4.676341,0,10.25,10.25,10.25,10.25,3.428108,600
25/03/1996,10.375,10.375,10.375,10.375,4.676341,200,10.25,10.25,10.25,10.25,3.428108,500
26/03/1996,10.375,10.375,10.375,10.375,4.676341,0,10.25,10.25,10.25,10.25,3.428108,0
27/03/1996,10.375,10.375,10.375,10.375,4.676341,10100,10.25,10.25,10.25,10.25,3.428108,400
28/03/1996,10.375,10.375,10.375,10.375,4.676341,0,10.25,10.25,10.25,10.25,3.428108,100
29/03/1996,10.4375,10.4375,10.4375,10.4375,4.704512,100,10.125,10.25,10.125,10.25,3.428108,200200
01/04/1996,10.4375,10.4375,10.4375,10.4375,4.704512,300,10.375,10.375,10.375,10.375,3.469914,900
02/04/1996,10.5,10.5,10.5,10.5,4.732684,1000,10.375,10.375,10.375,10.375,3.469914,3700
03/04/1996,10.5,10.5,10.5,10.5,4.732684,100300,10.25,10.25,10.1875,10.25,3.428108,5300
04/04/1996,10.5,10.5,10.5,10.5,4.732684,0,10.375,10.375,10.375,10.375,3.469914,100
08/04/1996,10.5,10.5,10.5,10.5,4.732684,0,10.125,10.1875,10.125,10.1875,3.407204,10300
09/04/1996,10.5,10.5,10.5,10.5,4.732684,0,10.3125,10.3125,10.3125,10.3125,3.44901,10000
10/04/1996,10.625,10.625,10.625,10.625,4.789025,900,10.3125,10.375,10.25,10.25,3.428108,8600
11/04/1996,10.5,10.5,10.5,10.5,4.732684,1000,10.25,10.25,10.25,10.25,3.428108,0
12/04/1996,10.5,10.5,10.5,10.5,4.732684,100,10.25,10.25,10.25,10.25,3.428108,0
15/04/1996,10.5,10.5,10.5,10.5,4.732684,400,10.375,10.5,10.375,10.5,3.511719,65300
16/04/1996,10.625,10.625,10.625,10.625,4.789025,1500,10.5,10.5,10.375,10.4375,3.490817,16000
17/04/1996,10.625,10.75,10.625,10.75,4.845366,18700,10.4375,10.4375,10.4375,10.4375,3.490817,1300
18/04/1996,10.875,10.875,10.625,10.625,4.789025,2600,10.375,10.5,10.375,10.5,3.511719,19200
19/04/1996,10.75,10.75,10.75,10.75,4.845366,400,10.5,10.5,10.5,10.5,3.511719,2200
22/04/1996,10.875,10.875,10.75,10.75,4.845366,3300,10.5625,10.5625,10.5,10.5,3.511719,1400
23/04/1996,10.75,10.75,10.75,10.75,4.845366,10000,10.625,10.6875,10.625,10.625,3.553526,246000
24/04/1996,10.8125,10.8125,10.75,10.75,4.845366,23000,10.6875,10.6875,10.6875,10.6875,3.574428,5400
