Date,IGE Open,IGE High,IGE Low,IGE Close,IGE Adj Close,IGE Volume,BWZ Open,BWZ High,BWZ Low,BWZ Close,BWZ Adj Close,BWZ Volume,EWC Open,EWC High,EWC Low,EWC Close,EWC Adj Close,EWC Volume
26/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.56,11.99,11.56,11.99,5.924693,6400,10.5,10.63,10.42,10.6,7.275496,7100
27/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.9,11.99,11.84,11.98,5.919751,18900,10.5,10.7,10.5,10.7,7.34413,3300
28/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.66,11.66,11.34,11.49,5.677625,64800,10.5,10.51,10.5,10.5,7.206857,2300
29/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.3,11.35,11.1,11.11,5.489851,49400,10.51,10.52,10.5,10.5,7.206857,3100
30/11/2001,15.22,15.22,15.22,15.22,9.973797,600,11,11.39,10.8,11.29,5.578797,29800,10.5,10.6,10.5,10.6,7.275496,2100
03/12/2001,15.22,15.22,15.22,15.22,9.973797,0,11.3,11.82,11.3,11.64,5.751746,757400,10.6,10.69,10.6,10.69,7.337268,800
04/12/2001,15.44,15.44,15.44,15.44,10.11797,600,12,12.09,11.8,11.84,5.850574,13800,10.7,10.8,10.55,10.69,7.337268,6300
05/12/2001,15.44,15.44,15.44,15.44,10.11797,0,12.01,12.08,11.77,12.04,5.949399,26500,10.79,11.05,10.78,11.04,7.577498,5800
06/12/2001,15.686667,15.686667,15.686667,15.686667,10.279614,1200,12.07,12.25,12.07,12.23,6.043285,7100,11.05,11.05,10.95,10.95,7.515725,5100
07/12/2001,15.45,15.45,15.356667,15.356667,10.063359,1800,12.2,12.43,12.2,12.24,6.048227,156200,10.85,10.98,10.85,10.9,7.481406,6400
10/12/2001,15.356667,15.356667,15.356667,15.356667,10.063359,0,12.3,12.39,12.12,12.39,6.122347,3000,10.98,10.98,10.75,10.95,7.515725,11600
11/12/2001,15.125,15.125,15.125,15.125,9.911544,1200,12.35,12.49,12.2,12.39,6.122347,120600,10.95,10.95,10.85,10.94,7.508861,21000
12/12/2001,15.05,15.05,15.008333,15.008333,9.835093,1800,12.4,12.41,12.21,12.4,6.127286,403000,10.9,10.9,10.81,10.81,7.419634,1400
13/12/2001,15.008333,15.008333,15.008333,15.008333,9.835093,0,11.8,12.22,11.8,11.9,5.880221,146400,10.8,10.8,10.55,10.55,7.241177,6400
14/12/2001,15.008333,15.008333,15.008333,15.008333,9.835093,0,11.91,11.91,11.84,11.85,5.855513,1800,10.6,10.85,10.6,10.75,7.37845,3800
17/12/2001,14.946667,14.946667,14.946667,14.946667,9.835428,0,11.82,12,11.82,11.99,5.924693,8400,10.75,10.85,10.75,10.75,7.37845,22800
18/12/2001,15.008333,15.135,15.008333,15.135,9.959354,7800,11.96,12.15,11.96,12.15,6.003752,11100,10.98,10.98,10.75,10.75,7.37845,8200
